Lat;24.04;lon;76.58
Datetime;Year;Month;Day;Data
2002-09-01;2002;9;1;50.7
2002-10-01;2002;10;1;0.0
2002-11-01;2002;11;1;0.0
2002-12-01;2002;12;1;0.0
2003-01-01;2003;1;1;0.0
2003-02-01;2003;2;1;0.0
2003-03-01;2003;3;1;0.0
2003-04-01;2003;4;1;0.0
2003-05-01;2003;5;1;0.0
2003-06-01;2003;6;1;24.4
2003-07-01;2003;7;1;179.6
2003-08-01;2003;8;1;198.3
2003-09-01;2003;9;1;170.9
2003-10-01;2003;10;1;0.0
2003-11-01;2003;11;1;0.0
2003-12-01;2003;12;1;0.0
2004-01-01;2004;1;1;0.0
2004-02-01;2004;2;1;0.0
2004-03-01;2004;3;1;0.0
2004-04-01;2004;4;1;0.0
2004-05-01;2004;5;1;0.0
2004-06-01;2004;6;1;137.9
2004-07-01;2004;7;1;197.7
2004-08-01;2004;8;1;366.9
2004-09-01;2004;9;1;11.4
2004-10-01;2004;10;1;58.4
2004-11-01;2004;11;1;0.0
2004-12-01;2004;12;1;0.0
2005-01-01;2005;1;1;0.0
2005-02-01;2005;2;1;0.0
2005-03-01;2005;3;1;0.0
2005-04-01;2005;4;1;0.0
2005-05-01;2005;5;1;0.0
2005-06-01;2005;6;1;83.8
2005-07-01;2005;7;1;267.9
2005-08-01;2005;8;1;63.5
2005-09-01;2005;9;1;153.7
2005-10-01;2005;10;1;0.0
2005-11-01;2005;11;1;0.0
2005-12-01;2005;12;1;0.0
2006-01-01;2006;1;1;0.0
2006-02-01;2006;2;1;0.0
2006-03-01;2006;3;1;0.0
2006-04-01;2006;4;1;0.0
2006-05-01;2006;5;1;0.0
2006-06-01;2006;6;1;72.6
2006-07-01;2006;7;1;218.5
2006-08-01;2006;8;1;416.0
2006-09-01;2006;9;1;261.4
2006-10-01;2006;10;1;10.9
2006-11-01;2006;11;1;0.0
2006-12-01;2006;12;1;0.0
2007-01-01;2007;1;1;0.0
2007-02-01;2007;2;1;0.0
2007-03-01;2007;3;1;0.0
2007-04-01;2007;4;1;0.0
2007-05-01;2007;5;1;0.0
2007-06-01;2007;6;1;110.8
2007-07-01;2007;7;1;301.8
2007-08-01;2007;8;1;206.7
2007-09-01;2007;9;1;163.9
2007-10-01;2007;10;1;0.0
2007-11-01;2007;11;1;0.0
2007-12-01;2007;12;1;0.0
2008-01-01;2008;1;1;0.0
2008-02-01;2008;2;1;0.0
2008-03-01;2008;3;1;0.0
2008-04-01;2008;4;1;0.0
2008-05-01;2008;5;1;0.0
2008-06-01;2008;6;1;151.4
2008-07-01;2008;7;1;144.1
2008-08-01;2008;8;1;177.8
2008-09-01;2008;9;1;84.4
2008-10-01;2008;10;1;5.3
2008-11-01;2008;11;1;0.0
2008-12-01;2008;12;1;0.0
2009-01-01;2009;1;1;0.0
2009-02-01;2009;2;1;0.0
2009-03-01;2009;3;1;0.0
2009-04-01;2009;4;1;0.0
2009-05-01;2009;5;1;0.0
2009-06-01;2009;6;1;15.8
2009-07-01;2009;7;1;237.0
2009-08-01;2009;8;1;65.6
2009-09-01;2009;9;1;89.7
2009-10-01;2009;10;1;172.4
2009-11-01;2009;11;1;0.0
2009-12-01;2009;12;1;0.0
2010-01-01;2010;1;1;0.0
2010-02-01;2010;2;1;0.0
2010-03-01;2010;3;1;0.0
2010-04-01;2010;4;1;0.0
2010-05-01;2010;5;1;0.0
2010-06-01;2010;6;1;48.2
2010-07-01;2010;7;1;336.9
2010-08-01;2010;8;1;317.6
2010-09-01;2010;9;1;53.5
2010-10-01;2010;10;1;0.0
2010-11-01;2010;11;1;0.0
2010-12-01;2010;12;1;0.0
2011-01-01;2011;1;1;0.0
2011-02-01;2011;2;1;0.0
2011-03-01;2011;3;1;0.0
2011-04-01;2011;4;1;0.0
2011-05-01;2011;5;1;0.0
2011-06-01;2011;6;1;405.5
2011-07-01;2011;7;1;326.9
2011-08-01;2011;8;1;419.4
2011-09-01;2011;9;1;196.2
2011-10-01;2011;10;1;0.0
2011-11-01;2011;11;1;0.0
2011-12-01;2011;12;1;0.0
